tax_num,avg_tax_incm,fine_code,fine_name,broad_code,broad_name
644,34223.2267080745,11720, Cake and Pastry Manufacturing (Factory based),C,Manufacturing
13,40660.6923076923,11730, Biscuit Manufacturing (Factory based),C,Manufacturing
1342,33559.7563338301,11740, Bakery Product Manufacturing (Non-factory based),C,Manufacturing
160,34813.68125,11820, Confectionery Manufacturing,C,Manufacturing
5,31855.2,11910," Potato, Corn and Other Crisp Manufacturing",C,Manufacturing
73,44656.4520547945,11920, Prepared Animal and Bird Feed Manufacturing,C,Manufacturing
1050,39729.380952381,11990, Other Food Product Manufacturing n.e.c.,C,Manufacturing
79,45254.5696202532,12110," Soft Drink, Cordial and Syrup Manufacturing",C,Manufacturing
60,68516.6333333333,12120, Beer Manufacturing,C,Manufacturing
5,13614.2,12130, Spirit Manufacturing,C,Manufacturing
405,68744.9703703704,12140, Wine and Other Alcoholic Beverage Manufacturing,C,Manufacturing
44,25613.6363636364,13120, Natural Textile Manufacturing,C,Manufacturing
13,41227.5384615385,13130, Synthetic Textile Manufacturing,C,Manufacturing
346,37751.5924855491,13200," Leather Tanning, Fur Dressing and Leather Product Manufacturing",C,Manufacturing
61,39551.1803278689,13310, Textile Floor Covering Manufacturing,C,Manufacturing
15,43546,13320," Rope, Cordage and Twine Manufacturing",C,Manufacturing
1233,32700.2887266829,13330, Cut and Sewn Textile Product Manufacturing,C,Manufacturing
634,34192.2902208202,13340, Textile Finishing and Other Textile Product Manufacturing,C,Manufacturing
85,27578.6705882353,13400, Knitted Product Manufacturing,C,Manufacturing
4159,32895.057465737,13510, Clothing Manufacturing,C,Manufacturing
74,31792.5540540541,13520, Footwear Manufacturing,C,Manufacturing
128,38477.5078125,14110, Log Sawmilling,C,Manufacturing
69,37895.1449275362,14120, Wood Chipping,C,Manufacturing
276,41945.8768115942,14130, Timber Resawing and Dressing,C,Manufacturing
32,46202.375,14910, Prefabricated Wooden Building Manufacturing,C,Manufacturing
4249,49733.9453989174,14920, Wooden Structural Fitting and Component Manufacturing,C,Manufacturing
5,27271,14940, Reconstituted Wood Product Manufacturing,C,Manufacturing
583,38469.538593482,14990, Other Wood Product Manufacturing n.e.c.,C,Manufacturing
11,30860.5454545455,15100," Pulp, Paper and Paperboard Manufacturing",C,Manufacturing
138,38043.5507246377,15230, Paper Stationery Manufacturing,C,Manufacturing
23,30347.2608695652,15290, Other Converted Paper Product Manufacturing,C,Manufacturing
1376,42252.179505814,16110, Printing,C,Manufacturing
1467,44786.2317655078,16120, Printing Support Services,C,Manufacturing
846,59379.6749408983,16200, Reproduction of Recorded Media,C,Manufacturing
7,100901.428571429,17090, Other Petroleum and Coal Product Manufacturing,C,Manufacturing
27,29036.3703703704,18120, Basic Organic Chemical Manufacturing,C,Manufacturing
16,52104.4375,18290, Other Basic Polymer Manufacturing,C,Manufacturing
13,32506.8461538462,18310, Fertiliser Manufacturing,C,Manufacturing
87,79740.2643678161,18410, Human Pharmaceutical and Medicinal Product Manufacturing,C,Manufacturing
6,92502.3333333333,18420, Veterinary Pharmaceutical and Medicinal Product Manufacturing,C,Manufacturing
1344,32413.0677083333,18510, Cleaning Compound Manufacturing,C,Manufacturing
425,36133,18520, Cosmetic and Toiletry Preparation Manufacturing,C,Manufacturing
71,40533.323943662,18910, Photographic Chemical Product Manufacturing,C,Manufacturing
12,79238.3333333333,18920, Explosive Manufacturing,C,Manufacturing
25,45408.76,18990, Other Basic Chemical Product Manufacturing n.e.c.,C,Manufacturing
5,34712.8,19110, Polymer Film and Sheet Packaging Material Manufacturing,C,Manufacturing
49,58692.8979591837,19120, Rigid and Semi-Rigid Polymer Product Manufacturing,C,Manufacturing
4,20809.5,19130, Polymer Foam Product Manufacturing,C,Manufacturing
52,38463.8653846154,19140, Tyre Manufacturing,C,Manufacturing
137,37062.9562043796,19160, Paint and Coatings Manufacturing,C,Manufacturing
89,39925.7528089888,19190, Other Polymer Product Manufacturing,C,Manufacturing
6,63302.6666666667,19200, Natural Rubber Product Manufacturing,C,Manufacturing
392,42028.7831632653,20100, Glass and Glass Product Manufacturing,C,Manufacturing
7,29510.2857142857,20210, Clay Brick Manufacturing,C,Manufacturing
636,39837.5,20290, Other Ceramic Product Manufacturing,C,Manufacturing
44,29421.0227272727,20310, Cement and Lime Manufacturing,C,Manufacturing
173,41895.4739884393,20320, Plaster Product Manufacturing,C,Manufacturing
334,53365.0838323353,20330, Ready-Mixed Concrete Manufacturing,C,Manufacturing
373,46688.0884718499,20340, Concrete Product Manufacturing,C,Manufacturing
293,49136.5802047782,20900, Other Non-Metallic Mineral Product Manufacturing,C,Manufacturing
143,56173.3846153846,21100, Iron Smelting and Steel Manufacturing,C,Manufacturing
84,37281.4523809524,21210, Iron and Steel Casting,C,Manufacturing
35,47685.7142857143,21220, Steel Pipe and Tube Manufacturing,C,Manufacturing
10,37507.6,21320, Aluminium Smelting,C,Manufacturing
38,54638.7894736842,21390, Other Basic Non-Ferrous Metal Manufacturing,C,Manufacturing
7,62338.4285714286,21410, Non-Ferrous Metal Casting,C,Manufacturing
36,40764.6666666667,21420," Aluminium Rolling, Drawing, Extruding",C,Manufacturing
46,57101.347826087,21490, Other Basic Non-Ferrous Metal Product Manufacturing,C,Manufacturing
40,39739.65,22100, Iron and Steel Forging,C,Manufacturing
732,53104,22210, Structural Steel Fabricating,C,Manufacturing
247,48442.4898785425,22220, Prefabricated Metal Building Manufacturing,C,Manufacturing
268,48109.4141791045,22230, Architectural Aluminium Product Manufacturing,C,Manufacturing
32,41278.5,22240, Metal Roof and Guttering Manufacturing (except Aluminium),C,Manufacturing
369,50970.5691056911,22290, Other Structural Metal Product Manufacturing,C,Manufacturing
934,64353.9571734475,22310," Boiler, Tank and Other Heavy Gauge Metal Container Manufacturing",C,Manufacturing
30,49532.8,22390, Other Metal Container Manufacturing,C,Manufacturing
381,56849.0157480315,22400, Sheet Metal Product Manufacturing (except Metal Structural and Container Products),C,Manufacturing
28,37772.7857142857,22910, Spring and Wire Product Manufacturing,C,Manufacturing
541,47872.0979667283,22930, Metal Coating and Finishing,C,Manufacturing
3190,53772.5880877743,22990, Other Fabricated Metal Product Manufacturing n.e.c.,C,Manufacturing
117,38796.5213675214,23110, Motor Vehicle Manufacturing,C,Manufacturing
373,41825.6112600536,23120, Motor Vehicle Body and Trailer Manufacturing,C,Manufacturing
72,49965.0138888889,23130, Automotive Electrical Component Manufacturing,C,Manufacturing
175,46329.6171428571,23190, Other Motor Vehicle Parts Manufacturing,C,Manufacturing
163,50116.7116564417,23910, Shipbuilding and Repair Services,C,Manufacturing
1008,42905.9067460318,23920, Boatbuilding and Repair Services,C,Manufacturing
14,46985.5714285714,23930, Railway Rolling Stock Manufacturing and Repair Services,C,Manufacturing
374,70611.9598930481,23940, Aircraft Manufacturing and Repair Services,C,Manufacturing
166,43113.5301204819,23990, Other Transport Equipment Manufacturing n.e.c.,C,Manufacturing
59,61372.2372881356,24110," Photographic, Optical and Ophthalmic Equipment Manufacturing",C,Manufacturing
456,66353.9890350877,24120, Medical and Surgical Equipment Manufacturing,C,Manufacturing
181,44757.3591160221,24190, Other Professional and Scientific Equipment Manufacturing,C,Manufacturing
202,56102.9801980198,24211, Computer and Related Equipment Manufacturing,C,Manufacturing
66,49211.1515151515,24219, Business Machine (Electronic) Manufacturing n.e.c.,C,Manufacturing
87,60533.4597701149,24220, Communication Equipment Manufacturing,C,Manufacturing
139,53167.035971223,24290, Other Electronic Equipment Manufacturing,C,Manufacturing
129,48433.8217054264,24310, Electric Cable and Wire Manufacturing,C,Manufacturing
128,50188.328125,24320, Electric Lighting Equipment Manufacturing,C,Manufacturing
199,54527.648241206,24390, Other Electrical Equipment Manufacturing,C,Manufacturing
37,44956.5405405405,24410, Whiteware Appliance Manufacturing,C,Manufacturing
156,32244.6153846154,24490, Other Domestic Appliance Manufacturing,C,Manufacturing
7,44289.5714285714,24510, Pump and Compressor Manufacturing,C,Manufacturing
108,49006.3518518519,24520," Fixed Space Heating, Cooling and Ventilation Equipment Manufacturing",C,Manufacturing
119,51742.3025210084,24610, Agricultural Machinery and Equipment Manufacturing,C,Manufacturing
63,60193.1111111111,24620, Mining and Construction Machinery Manufacturing,C,Manufacturing
306,54118.0098039216,24630, Machine Tool and Parts Manufacturing,C,Manufacturing
265,39468.8490566038,24690, Other Specialised Machinery and Equipment Manufacturing,C,Manufacturing
41,51721.8048780488,24910, Lifting and Material Handling Equipment Manufacturing,C,Manufacturing
203,53565.354679803,24990, Other Machinery and Equipment Manufacturing n.e.c.,C,Manufacturing
3276,44835.1233211233,25110, Wooden Furniture and Upholstered Seat Manufacturing,C,Manufacturing
64,45165.328125,25120, Metal Furniture Manufacturing,C,Manufacturing
10,34397.5,25130, Mattress Manufacturing,C,Manufacturing
596,38343.5654362416,25190, Other Furniture Manufacturing,C,Manufacturing
2237,39283.9879302638,25910, Jewellery and Silverware Manufacturing,C,Manufacturing
624,42019.4471153846,25920," Toy, Sporting and Recreational Product Manufacturing",C,Manufacturing
989,43213.8281092012,25990, Other Manufacturing n.e.c.,C,Manufacturing
79,77200.1139240506,26190, Other Electricity Generation,D,"Electricity, Gas, Water and Waste Services"
13,48406.0769230769,26200, Electricity Transmission,D,"Electricity, Gas, Water and Waste Services"
35,63544.3142857143,26300, Electricity Distribution,D,"Electricity, Gas, Water and Waste Services"
162,39740.3209876543,26400, On Selling Electricity and Electricity Market Operation,D,"Electricity, Gas, Water and Waste Services"
29,59392.8620689655,27000, Gas Supply,D,"Electricity, Gas, Water and Waste Services"
206,55990.5145631068,28110, Water Supply,D,"Electricity, Gas, Water and Waste Services"
91,54893.8901098901,28120, Sewerage and Drainage Services,D,"Electricity, Gas, Water and Waste Services"
359,46343.8189415042,29110, Solid Waste Collection Services,D,"Electricity, Gas, Water and Waste Services"
214,46133.7476635514,29190, Other Waste Collection Services,D,"Electricity, Gas, Water and Waste Services"
265,44527.2603773585,29210, Waste Treatment and Disposal Services,D,"Electricity, Gas, Water and Waste Services"
